tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1764690713;1.790913;1.991058;2.071578;2.110977
1764690714;1.778968;1.977935;2.058047;2.097246
1764690715;1.751504;1.947545;2.026541;2.065193
1764690716;1.730676;1.924445;2.00255;2.040768
1764690717;1.696499;1.886496;1.963105;2.00059
1764690718;1.670785;1.858259;1.934001;1.971062
1764690719;1.63956;1.823964;1.89865;1.935195
1764690720;1.604184;1.784976;1.858354;1.894258
1764690721;1.565798;1.742569;1.814445;1.849614
1764690722;1.569539;1.74709;1.819434;1.854832
1764690723;1.582118;1.76158;1.834908;1.870787
1764690724;1.589109;1.769794;1.843802;1.880014
1764690725;1.597815;1.779829;1.854523;1.891072
1764690726;1.620445;1.805207;1.881099;1.918232
1764690727;1.647816;1.835954;1.913338;1.951202
1764690728;1.672443;1.863606;1.942324;1.980842
1764690729;1.675666;1.867402;1.946441;1.985116
1764690730;1.667831;1.858827;1.937626;1.976184
1764690731;1.651118;1.840331;1.918449;1.956673
1764690732;1.633692;1.82096;1.898297;1.936138
1764690733;1.64742;1.836403;1.914507;1.952725
1764690734;1.679933;1.872784;1.952545;1.991572
1764690735;1.69578;1.890546;1.971139;2.010571
1764690736;1.716904;1.914102;1.995702;2.03563
1764690737;1.729468;1.928069;2.010233;2.050436
1764690738;1.758688;1.960459;2.043859;2.084667
1764690739;1.761509;1.963542;2.047024;2.087871
1764690740;1.752491;1.953423;2.036422;2.077035
1764690741;1.727661;1.925684;2.007456;2.047468
1764690742;1.715517;1.912036;1.99314;2.032825
1764690743;1.701148;1.895872;1.976173;2.015465
1764690744;1.685121;1.877836;1.957236;1.996088
1764690746;1.674221;1.865458;1.944153;1.98266
1764690747;1.680207;1.871917;1.950718;1.989276
1764690748;1.668254;1.858399;1.936475;1.974678
1764690749;1.660822;1.849926;1.927492;1.965445
1764690750;1.657129;1.845604;1.922826;1.960611
1764690751;1.6565;1.8446;1.921542;1.959189
1764690752;1.652048;1.839347;1.915836;1.953263
1764690753;1.638233;1.823651;1.899241;1.936227
1764690754;1.629594;1.813695;1.888605;1.925257
1764690755;1.618924;1.801558;1.875761;1.912069
1764690756;1.619337;1.801694;1.875647;1.911833
1764690757;1.6161;1.797786;1.871337;1.907326
1764690758;1.60994;1.790612;1.863617;1.899339
1764690759;1.588851;1.766856;1.838655;1.873787
1764690760;1.568503;1.743901;1.81451;1.84906
1764690761;1.548959;1.72183;1.791276;1.825257
1764690762;1.555507;1.728954;1.798567;1.83263
1764690763;1.564189;1.738519;1.808448;1.842665
1764690764;1.561891;1.735975;1.80581;1.839981
1764690765;1.550723;1.723575;1.792922;1.826854
1764690766;1.586349;1.763232;1.834221;1.868957
1764690767;1.62323;1.804229;1.876873;1.912417
1764690768;1.649494;1.833393;1.907189;1.943297
1764690769;1.654273;1.838678;1.912664;1.948867
1764690770;1.67947;1.866629;1.941697;1.978429
1764690771;1.695706;1.884625;1.960379;1.997445
1764690772;1.713555;1.904284;1.980687;2.018072
1764690773;1.710046;1.90025;1.976386;2.013639
1764690774;1.696414;1.884966;1.960382;1.997283
1764690775;1.693654;1.881876;1.957151;1.993983
1764690776;1.687104;1.874526;1.949448;1.986108
1764690777;1.683861;1.871006;1.945854;1.982477
1764690778;1.689642;1.877572;1.952797;1.989603
1764690779;1.715295;1.906056;1.982403;2.01976
1764690780;1.744167;1.938237;2.015949;2.053975
1764690782;1.775357;1.973198;2.052549;2.091377
1764690783;1.79549;1.995878;2.076382;2.115772
1764690784;1.819088;2.022475;2.104339;2.144395
1764690785;1.820012;2.023849;2.106041;2.146258
1764690786;1.821494;2.025792;2.108294;2.148663
1764690787;1.836036;2.042412;2.125943;2.166816
1764690788;1.848389;2.056629;2.141116;2.182457
1764690789;1.871467;2.082755;2.168669;2.210707
1764690790;1.877757;2.09019;2.176751;2.219106
1764690791;1.870386;2.082343;2.168862;2.211196
1764690792;1.858335;2.069164;2.155322;2.197479
1764690793;1.861546;2.07299;2.159504;2.201835
1764690794;1.851843;2.062371;2.148589;2.190775
1764690795;1.85071;2.061147;2.147343;2.189519
1764690796;1.837597;2.046585;2.132206;2.1741
1764690797;1.840156;2.049558;2.135399;2.177402
1764690798;1.849073;2.059506;2.145777;2.187989
1764690799;1.869361;2.0822;2.169497;2.212214
1764690800;1.904969;2.121925;2.210938;2.254493
