tijd s;pm 1.0 ug/m3;pm 2.5 ug/m3;pm 4.0 ug/m3;pm 10 ug/m3
1764691680;3.621125;3.932724;4.01845;4.060396
1764691681;3.621125;3.932724;4.01845;4.060396
1764691682;3.621125;3.932724;4.01845;4.060396
1764691683;3.621125;3.932724;4.01845;4.060396
1764691684;3.621125;3.932724;4.01845;4.060396
1764691685;3.55903;3.862166;3.943835;3.983796
1764691686;3.485766;3.779692;3.857224;3.895159
1764691687;3.397875;3.681592;3.75485;3.790696
1764691688;3.299016;3.571914;3.640918;3.674681
1764691689;3.192261;3.453925;3.518706;3.550403
1764691690;3.086489;3.337279;3.398087;3.42784
1764691692;2.897604;3.128862;3.182486;3.208724
1764691693;2.821136;3.044438;3.095112;3.119907
1764691694;2.737296;2.952267;3.000029;3.023399
1764691695;2.660947;2.868369;2.913516;2.935605
1764691696;2.585117;2.785199;2.827874;2.848755
1764691697;2.516777;2.710289;2.750776;2.770586
1764691698;2.448876;2.63594;2.674319;2.693099
1764691699;2.369387;2.549253;2.585453;2.603164
1764691700;2.300241;2.473858;2.508173;2.524964
1764691701;2.233853;2.401499;2.434029;2.449947
1764691702;2.170362;2.332322;2.363164;2.378255
1764691703;2.122476;2.280015;2.309475;2.32389
1764691704;2.094019;2.248668;2.277089;2.290996
1764691705;2.087896;2.241358;2.269089;2.282657
1764691706;2.07468;2.22654;2.253573;2.266802
1764691707;2.087406;2.239529;2.266174;2.27921
1764691708;2.089462;2.241041;2.267137;2.279906
1764691709;2.069298;2.218091;2.242839;2.254949
1764691711;2.056557;2.20389;2.228035;2.239851
1764691712;2.057227;2.204085;2.227806;2.239412
1764691713;2.043508;2.188866;2.211997;2.223316
1764691714;2.024584;2.168054;2.190521;2.201515
1764691715;2.020565;2.163275;2.185306;2.196085
1764691716;2.016037;2.157962;2.179557;2.190125
1764691717;2.042699;2.186024;2.207511;2.218024
1764691718;2.05649;2.200361;2.221644;2.232058
1764691719;2.059718;2.203415;2.224399;2.234667
1764691720;2.048047;2.19058;2.211154;2.221222
1764691721;2.037047;2.17849;2.198685;2.208568
1764691722;2.051944;2.194137;2.214246;2.224086
1764691723;2.068736;2.211797;2.231827;2.241627
1764691724;2.06165;2.203942;2.22367;2.233325
1764691725;2.054228;2.195785;2.215258;2.224787
1764691726;2.031328;2.170854;2.189737;2.198977
1764691727;1.999837;2.137031;2.155479;2.164507
1764691729;1.985888;2.122088;2.140378;2.149326
1764691730;1.961041;2.095474;2.113481;2.122292
1764691731;1.940238;2.073189;2.09096;2.099656
1764691732;1.922919;2.054695;2.072317;2.08094
1764691733;1.93384;2.066394;2.084139;2.092824
1764691734;1.935969;2.068703;2.086498;2.095206
1764691735;1.956202;2.090376;2.108399;2.117219
1764691736;1.959339;2.093783;2.111883;2.120739
1764691737;1.954909;2.089076;2.107156;2.116003
1764691738;1.944394;2.077864;2.095866;2.104674
1764691739;1.922744;2.05472;2.072516;2.081224
1764691740;1.904914;2.03564;2.053248;2.061865
1764691741;1.884045;2.013312;2.030707;2.039217
