# time;pm2.5
1732579200;5.100000
1732579260;4.750000
1732579320;4.990000
1732579380;5.100000
1732579440;5.120000
1732579500;5.270000
1732579560;5.310000
1732579620;5.270000
1732579680;4.970000
1732579740;5.490000
1732579800;5.900000
1732579860;5.830000
1732579920;5.160000
1732579980;5.330000
1732580040;5.310000
1732580100;5.500000
1732580160;5.500000
1732580220;6.410000
1732580280;5.820000
1732580340;6.280000
1732580400;6.390000
1732580460;5.540000
1732580520;6.150000
1732580580;6.320000
1732580640;5.890000
1732580700;6.390000
1732580760;6.200000
1732580820;6.130000
1732580880;6.010000
1732580940;5.970000
1732581000;6.230000
1732581060;5.990000
1732581120;6.200000
1732581180;5.620000
1732581240;5.530000
1732581300;5.710000
1732581360;5.840000
1732581420;6.100000
1732581480;6.340000
1732581540;5.830000
1732581600;6.070000
1732581660;6.180000
1732581720;5.890000
1732581780;6.000000
1732581840;5.990000
1732581900;6.020000
1732581960;6.230000
1732582020;5.750000
1732582080;6.040000
1732582140;5.710000
1732582200;5.680000
1732582260;6.110000
1732582320;5.680000
1732582380;6.080000
1732582440;6.350000
1732582500;6.070000
1732582560;6.110000
1732582620;6.050000
1732582680;6.050000
1732582740;6.240000
1732582800;6.190000
1732582860;6.180000
1732582920;6.470000
1732582980;5.970000
1732583160;5.660000
1732583220;5.810000
1732583280;5.310000
1732583340;5.520000
1732583400;6.210000
1732583460;6.410000
1732583520;5.920000
1732583580;6.120000
1732583640;5.800000
1732583700;5.670000
1732583760;5.770000
1732583820;5.510000
1732583880;6.250000
1732583940;6.200000
1732584000;5.550000
1732584060;6.050000
1732584120;6.160000
1732584180;6.420000
1732584240;6.100000
1732584300;6.200000
1732584360;6.140000
1732584420;5.580000
1732584480;5.840000
1732584540;6.850000
1732584600;7.120000
1732584660;6.560000
1732584720;6.760000
1732584780;7.400000
1732584840;7.160000
1732584900;6.580000
1732584960;6.870000
1732585020;7.190000
1732585080;7.280000
1732585140;7.600000
1732585200;6.590000
1732585260;6.550000
1732585320;6.990000
1732585380;6.860000
1732585440;7.000000
1732585500;6.410000
1732585560;5.690000
1732585620;5.720000
1732585680;6.590000
1732585740;6.770000
1732585800;6.360000
1732585860;5.860000
1732585920;5.460000
1732585980;6.350000
1732586040;6.000000
1732586100;5.670000
1732586160;6.090000
1732586220;5.760000
1732586280;5.720000
1732586340;5.400000
